timestamp_utc,symbol,open,high,low,close,volume,session
1784106000,EURUSD,1.14404,1.14425,1.1439300000000001,1.14399,4087.0,london
1784106900,EURUSD,1.14399,1.1443699999999999,1.14396,1.14417,4175.0,london
1784107800,EURUSD,1.14418,1.14419,1.14375,1.14386,4443.0,london
1784108700,EURUSD,1.14386,1.14386,1.14279,1.14288,6104.0,london
1784109600,EURUSD,1.14287,1.14318,1.1426,1.143,6128.0,london
1784110500,EURUSD,1.14301,1.14304,1.14197,1.14225,5631.0,london
1784111400,EURUSD,1.14225,1.14247,1.14211,1.14238,5213.0,london
1784112300,EURUSD,1.14238,1.14251,1.14215,1.14233,4403.0,london
1784113200,EURUSD,1.14233,1.14274,1.14213,1.14227,5324.0,london
1784114100,EURUSD,1.14227,1.14254,1.14222,1.14252,4451.0,london
1784115000,EURUSD,1.14252,1.14266,1.14237,1.14245,3949.0,london
1784115900,EURUSD,1.14245,1.14254,1.1421000000000001,1.14243,4388.0,london
1784116800,EURUSD,1.14243,1.14258,1.14202,1.14241,4674.0,london
1784117700,EURUSD,1.14241,1.14251,1.14216,1.14217,4532.0,london
1784118600,EURUSD,1.14217,1.14225,1.14178,1.14205,4550.0,london
1784119500,EURUSD,1.14205,1.14221,1.14164,1.14168,4690.0,london
1784120400,EURUSD,1.14168,1.14179,1.14134,1.14148,4842.0,newyork
1784121300,EURUSD,1.14148,1.14182,1.14121,1.14131,5098.0,newyork
1784122200,EURUSD,1.14131,1.14145,1.14106,1.14126,4740.0,newyork
1784123100,EURUSD,1.14126,1.1415899999999999,1.14119,1.14158,3941.0,newyork
1784124000,EURUSD,1.14158,1.14193,1.14153,1.1417,4477.0,newyork
1784124900,EURUSD,1.1417,1.14184,1.14151,1.14158,4437.0,newyork
1784125800,EURUSD,1.14158,1.1419,1.14145,1.14146,3979.0,newyork
1784126700,EURUSD,1.14146,1.14155,1.141,1.14117,6411.0,newyork
1784127600,EURUSD,1.14119,1.14145,1.14059,1.14092,5771.0,newyork
1784128500,EURUSD,1.14092,1.14148,1.14077,1.14138,5388.0,newyork
1784129400,EURUSD,1.14135,1.14253,1.14134,1.14251,7087.0,newyork
1784130300,EURUSD,1.14251,1.14302,1.1424400000000001,1.14283,6464.0,newyork
1784131200,EURUSD,1.14283,1.14336,1.14269,1.1427,6788.0,newyork
1784132100,EURUSD,1.1427,1.14334,1.14235,1.1424400000000001,5960.0,newyork
1784133000,EURUSD,1.14242,1.1428,1.14238,1.14262,6032.0,newyork
1784133900,EURUSD,1.14264,1.14355,1.1425,1.143,6912.0,newyork
1784134800,EURUSD,1.143,1.14354,1.143,1.14317,6301.0,newyork
1784135700,EURUSD,1.14319,1.14354,1.143,1.14322,6903.0,newyork
1784136600,EURUSD,1.14324,1.14392,1.14322,1.14387,7239.0,newyork
1784137500,EURUSD,1.14387,1.14414,1.14327,1.14368,7671.0,newyork
1784138400,EURUSD,1.14369,1.14413,1.14354,1.14354,6404.0,newyork
1784139300,EURUSD,1.14353,1.14399,1.14331,1.1439300000000001,6503.0,newyork
1784140200,EURUSD,1.1439300000000001,1.14394,1.14317,1.14343,6021.0,newyork
1784141100,EURUSD,1.14343,1.1437,1.14316,1.14351,5523.0,newyork
1784142000,EURUSD,1.14352,1.14361,1.14302,1.14343,5312.0,newyork
1784142900,EURUSD,1.14343,1.14397,1.14339,1.14388,5373.0,newyork
1784143800,EURUSD,1.14388,1.14391,1.1434199999999999,1.14352,5011.0,newyork
1784144700,EURUSD,1.14352,1.14422,1.14346,1.14421,5778.0,newyork
1784145600,EURUSD,1.14421,1.14501,1.1442,1.14495,5325.0,newyork
1784146500,EURUSD,1.14495,1.14558,1.14479,1.14557,4890.0,newyork
1784147400,EURUSD,1.14556,1.1470799999999999,1.14556,1.14704,6242.0,newyork
1784148300,EURUSD,1.14704,1.14747,1.14668,1.1473200000000001,5593.0,newyork
1784149200,EURUSD,1.1473200000000001,1.14768,1.14721,1.14731,4954.0,newyork
1784150100,EURUSD,1.14731,1.14785,1.14721,1.14783,5084.0,newyork
1784151000,EURUSD,1.14784,1.14824,1.14731,1.1473200000000001,4926.0,newyork
1784151900,EURUSD,1.14731,1.14743,1.14659,1.14666,5647.0,newyork
1784152800,EURUSD,1.14664,1.14739,1.14657,1.14738,4989.0,newyork
1784153700,EURUSD,1.14738,1.14746,1.147,1.14727,4439.0,newyork
1784154600,EURUSD,1.14727,1.14727,1.14623,1.1463,5553.0,newyork
1784155500,EURUSD,1.1463,1.14648,1.14614,1.14638,4445.0,newyork
1784156400,EURUSD,1.1463700000000001,1.14642,1.14607,1.14613,2434.0,newyork
1784157300,EURUSD,1.14613,1.1464,1.14612,1.14635,1368.0,newyork
1784158200,EURUSD,1.14635,1.1463700000000001,1.14608,1.14624,1654.0,newyork
1784159100,EURUSD,1.14624,1.14638,1.14621,1.1463,1506.0,newyork
1784160000,EURUSD,1.14625,1.14656,1.14618,1.1461999999999999,294.0,asia
1784160900,EURUSD,1.1461999999999999,1.14654,1.14613,1.14654,393.0,asia
1784161800,EURUSD,1.14652,1.1466,1.14646,1.14653,941.0,asia
1784162700,EURUSD,1.14656,1.14659,1.14627,1.14641,1588.0,asia
1784163600,EURUSD,1.14639,1.1468099999999999,1.1463700000000001,1.14663,1369.0,asia
1784164500,EURUSD,1.14663,1.14672,1.14652,1.1467100000000001,1531.0,asia
1784165400,EURUSD,1.1467100000000001,1.14674,1.1466,1.14665,1148.0,asia
1784166300,EURUSD,1.14665,1.14669,1.1465,1.14668,1395.0,asia
